Пол;Возраст;Путешествует с детьми;Расстояние;Включён завтрак;Наличие wifi;Оценка удобства добирания до места;Оценка интерсности досуга;Оценка качества питания;Оценка качества wifi;Оценка комфортности палатки;Общая оценка качества предоставленной услуги
муж;55,9;нет;677;0;1;2;плохо;отсутствует;плохо;плохо;нормально
жен;37,4;нет;2112;1;0;3;плохо;плохо;отсутствует;хорошо;нормально
жен;48,3;да;1241;1;1;3;нормально;нормально;плохо;плохо;нормально
муж;58,6;да;1579;1;1;4;нормально;плохо;нормально;хорошо;нормально
муж;34,3;нет;469;0;1;4;нормально;отсутствует;плохо;нормально;нормально
муж;33,3;нет;667;0;0;4;плохо;отсутствует;отсутствует;нормально;нормально
жен;45,2;нет;865;1;1;4;хорошо;плохо;хорошо;нормально;хорошо
жен;42,5;нет;1242;0;1;4;нормально;отсутствует;плохо;нормально;нормально
жен;24,2;нет;1079;1;1;3;нормально;плохо;плохо;нормально;нормально
муж;45,2;нет;627;1;0;2;плохо;нормально;отсутствует;нормально;нормально
муж;51,6;да;1747;1;1;3;нормально; ;плохо;хорошо;нормально
муж;37,4;нет;195;1;1;3;нормально;плохо;плохо;плохо;плохо
жен;65,9;нет;680;1;0;2;плохо;плохо;отсутствует;нормально;нормально
жен;19,7;нет;287;0;0;3; ;отсутствует;отсутствует;нормально;нормально
муж;22,2;нет;785;1;1;2;нормально;нормально;нормально;нормально;хорошо
муж;37,5;нет;639;0;0;4;плохо;отсутствует;отсутствует;нормально;нормально
жен;49,9;нет;1021;0;0;3;плохо;отсутствует;отсутствует;плохо;нормально
муж;43,8;да;850;1;1;2;нормально;нормально;нормально;плохо;нормально
жен;35,4;нет;627;0;1;4;плохо;отсутствует;нормально;плохо;хорошо
муж;49,4;нет;763;1;1;4;нормально;плохо;плохо;нормально;нормально
жен;38,2;нет;570;1;1;2;хорошо;хорошо;хорошо;хорошо;хорошо
жен;47,9;нет;851;1;1;4;хорошо;нормально;нормально;нормально;хорошо
муж;64,2;нет;688;1;0;2;плохо;плохо;отсутствует;нормально;плохо
